observed,predicted,low,high,anomalous,actual_anomaly,err,threshold
751.764,766.658,752.633,780.683,0,0,0.2,0.280494
751.484,767.266,753.12,781.412,0,0,0.2,0.282914
752.15,766.732,752.65,780.815,0,0,0.2,0.281646
753.005,766.634,752.541,780.727,0,0,0.2,0.281857
754.215,767.063,753.164,780.961,0,0,0.2,0.27797
755.418,766.979,753.035,780.923,0,0,0.2,0.278874
756.416,767.801,753.885,781.717,0,0,0.2,0.278323
757.265,767.208,753.368,781.047,0,0,0.19885,0.276799
757.961,766.476,752.582,780.37,0,0,0.170299,0.277871
759.542,767.186,753.306,781.067,0,0,0.15289,0.277617
760.141,767.357,753.596,781.118,0,0,0.14432,0.275225
760.884,767.419,753.93,780.908,0,0,0.130704,0.269785
761.209,767.801,754.375,781.227,0,0,0.131831,0.26852
760.945,767.023,753.769,780.277,0,0,0.121564,0.265084
760.347,767.271,753.865,780.678,0,0,0.138487,0.26813
759.356,767.435,754.217,780.653,0,0,0.161572,0.264359
758.223,768.249,754.957,781.541,0,0,0.2,0.265847
757.111,768.458,755.004,781.913,0,0,0.2,0.26909
755.888,768.344,754.804,781.884,0,0,0.2,0.270804
754.348,768.792,755.131,782.452,0,0,0.2,0.273212
753.581,768.445,754.644,782.246,0,0,0.2,0.276018
752.84,768.053,754.269,781.837,0,0,0.2,0.275679
751.725,768.234,754.198,782.271,0,0,0.2,0.280724
751.252,767.765,753.871,781.659,0,0,0.2,0.277884
751.445,767.684,753.887,781.48,0,0,0.2,0.275934
751.844,767.43,753.725,781.135,0,0,0.2,0.274108
752.668,767.644,754.076,781.213,0,0,0.2,0.271366
752.978,767.167,753.235,781.099,0,0,0.2,0.278642
753.963,767.162,753.393,780.931,0,0,0.2,0.275373
755.303,766.973,753.145,780.801,0,0,0.2,0.27656
756.746,767.221,753.587,780.855,0,0,0.2,0.272677
757.577,766.714,752.869,780.558,0,0,0.182733,0.276892
758.783,766.515,752.813,780.217,0,0,0.15464,0.274047
759.405,768.184,754.589,781.778,0,0,0.175573,0.271885
760.216,767.818,754.268,781.368,0,0,0.152045,0.271
761.014,767.731,754.042,781.419,0,0,0.134335,0.273769
761.167,768.007,754.678,781.336,0,0,0.136795,0.266583
761.045,767.474,754.047,780.901,0,0,0.128588,0.268541
760.826,767.937,754.652,781.222,0,0,0.142218,0.265696
760.182,767.886,754.624,781.148,0,0,0.154084,0.265236
759.152,768.606,755.418,781.794,0,0,0.189081,0.263762
758.392,768.811,755.72,781.901,0,0,0.2,0.261812
757.028,768.157,754.756,781.558,0,0,0.2,0.268015
755.738,768.505,755.167,781.844,0,0,0.2,0.266771
754.854,768.588,755.184,781.991,0,0,0.2,0.268061
753.742,767.857,754.256,781.458,0,0,0.2,0.272023
752.678,767.843,754.203,781.483,0,0,0.2,0.272802
752.385,767.654,753.833,781.475,0,0,0.2,0.276428
752.143,767.826,754.085,781.567,0,0,0.2,0.274821
752.121,767.14,753.168,781.112,0,0,0.2,0.279437
752.738,767.551,753.626,781.477,0,0,0.2,0.278506
753.139,767.311,753.137,781.484,0,0,0.2,0.283464
753.607,767.783,753.914,781.653,0,0,0.2,0.277389
754.765,767.493,753.549,781.437,0,0,0.2,0.278878
755.457,767.799,753.758,781.839,0,0,0.2,0.280813
756.459,767.608,753.483,781.732,0,0,0.2,0.282498
757.279,766.785,753.012,780.557,0,0,0.190114,0.275455
758.054,767.448,753.434,781.462,0,0,0.18788,0.280285
758.958,767.779,753.832,781.726,0,0,0.176417,0.278934
759.745,767.983,754.014,781.952,0,0,0.164766,0.279381
760.519,767.913,754.159,781.667,0,0,0.147884,0.275081
761.207,768.778,755.146,782.41,0,0,0.151416,0.272643
761.192,768.081,754.617,781.546,0,0,0.137787,0.269288
760.604,768.39,755.058,781.721,0,0,0.15571,0.266628
760.358,768.69,755.539,781.841,0,0,0.166642,0.263011
759.279,768.244,755.164,781.323,0,0,0.179296,0.261589
758.07,768.603,755.525,781.68,0,0,0.2,0.261557
757.072,769.157,755.76,782.554,0,0,0.2,0.267941
755.787,768.806,755.178,782.435,0,0,0.2,0.272561
754.731,768.37,754.6,782.141,0,0,0.2,0.275406
754.326,768.062,754.405,781.72,0,0,0.2,0.273149
753.426,767.979,754.331,781.627,0,0,0.2,0.272956
752.822,767.979,754.141,781.817,0,0,0.2,0.276763
752.589,768.193,754.6,781.786,0,0,0.2,0.271869
752.378,767.698,754.052,781.345,0,0,0.2,0.272924
752.858,767.546,753.836,781.255,0,0,0.2,0.274184
753.265,767.683,754.022,781.344,0,0,0.2,0.27322
754.19,767.182,753.294,781.07,0,0,0.2,0.27776
754.77,767.944,754.111,781.777,0,0,0.2,0.276659
755.515,767.847,753.932,781.762,0,0,0.2,0.278294
756.332,767.703,753.589,781.818,0,0,0.2,0.282285
757.015,768.638,754.591,782.684,0,0,0.2,0.280934
757.651,768.049,753.747,782.352,0,0,0.2,0.286049
758.506,767.574,753.262,781.886,0,0,0.181357,0.286238
759.427,768.455,754.142,782.768,0,0,0.180557,0.286255
759.921,768.008,753.872,782.143,0,0,0.161734,0.282708
760.295,768.388,754.485,782.291,0,0,0.161868,0.278058
760.027,768.52,754.835,782.205,0,0,0.169859,0.273708
759.583,769.079,755.471,782.687,0,0,0.189913,0.272163
759.064,768.563,754.784,782.343,0,0,0.189988,0.275591
758.307,767.919,754.402,781.435,0,0,0.192231,0.270332
757.194,767.784,754.15,781.418,0,0,0.2,0.272683
756.14,768.209,754.622,781.796,0,0,0.2,0.271736
755.32,768.327,754.544,782.11,0,0,0.2,0.275657
754.265,768.883,755.048,782.719,0,0,0.2,0.276708
753.469,768.763,754.824,782.703,0,0,0.2,0.278792
752.834,768.334,754.257,782.412,0,0,0.2,0.281548
752.187,768.725,754.86,782.591,0,0,0.2,0.277312
751.878,767.919,753.955,781.883,0,0,0.2,0.279278
751.989,768.248,754.248,782.248,0,0,0.2,0.279993
752.544,768.364,754.484,782.243,0,0,0.2,0.27759
752.693,766.956,752.92,780.992,0,0,0.2,0.280718
753.446,767.317,753.37,781.264,0,0,0.2,0.27894
